#Depth	TVD	DX	DY	GR	RT	RI	RXO	DEN	SP
46.875	46.837	0.317	1.007	73.149	7.928	6.180	7.624	2.147	-7.646
47.000	46.962	0.319	1.014	84.974	6.724	5.282	6.648	2.176	-7.123
47.125	47.086	0.322	1.020	97.469	6.081	4.737	5.411	2.228	-6.547
47.250	47.211	0.324	1.027	100.479	6.368	4.695	5.231	2.302	-6.055
47.375	47.336	0.327	1.033	93.241	7.822	5.256	7.681	2.382	-5.616
47.500	47.461	0.329	1.040	81.504	10.306	6.468	15.293	2.441	-5.356
47.625	47.585	0.332	1.047	71.417	13.056	8.254	20.866	2.443	-5.225
47.750	47.710	0.334	1.053	65.570	14.967	9.932	16.720	2.392	-5.211
47.875	47.835	0.337	1.060	64.888	15.494	10.813	11.750	2.309	-5.350
48.000	47.959	0.339	1.066	67.804	14.789	10.715	9.790	2.221	-5.585
48.125	48.084	0.342	1.073	72.034	13.562	10.098	9.887	2.150	-5.945
48.250	48.209	0.345	1.079	73.816	12.640	9.595	9.807	2.103	-6.235
48.375	48.334	0.347	1.086	72.048	12.201	9.362	9.544	2.080	-6.499
48.500	48.458	0.350	1.092	69.749	12.056	9.308	9.512	2.081	-6.701
48.625	48.583	0.352	1.099	70.612	11.867	9.206	9.680	2.100	-6.818
48.750	48.708	0.355	1.105	73.381	11.466	8.921	9.497	2.122	-6.903
48.875	48.833	0.357	1.112	76.013	10.908	8.477	8.976	2.140	-6.956
49.000	48.957	0.360	1.119	78.720	10.375	8.006	8.313	2.150	-6.991
49.125	49.082	0.362	1.125	82.194	10.138	7.708	7.326	2.151	-6.996
49.250	49.207	0.365	1.132	83.455	10.283	7.675	6.816	2.147	-7.048
49.375	49.331	0.367	1.138	79.143	10.784	7.917	7.208	2.144	-7.160
49.500	49.456	0.370	1.145	70.748	11.488	8.362	8.493	2.143	-7.255
49.625	49.581	0.372	1.151	65.520	12.118	8.840	9.348	2.146	-7.373
49.750	49.706	0.375	1.158	66.477	12.453	9.151	9.743	2.148	-7.505
49.875	49.830	0.378	1.164	70.516	12.444	9.212	9.680	2.145	-7.617
50.000	49.955	0.380	1.171	73.766	12.206	9.074	9.490	2.136	-7.738
50.125	50.080	0.383	1.178	74.831	11.972	8.891	9.494	2.124	-7.819
50.250	50.204	0.385	1.184	74.209	11.923	8.807	9.634	2.115	-7.962
50.375	50.329	0.388	1.191	74.328	12.096	8.866	9.811	2.115	-8.059
50.500	50.454	0.390	1.197	75.768	12.415	9.044	10.179	2.124	-8.142
50.625	50.579	0.393	1.204	75.545	12.726	9.258	10.542	2.137	-8.230
50.750	50.703	0.395	1.210	74.249	12.890	9.396	10.857	2.147	-8.292
50.875	50.828	0.398	1.217	74.886	12.857	9.406	10.948	2.148	-8.367
51.000	50.953	0.400	1.223	77.810	12.664	9.293	10.679	2.140	-8.406
51.125	51.077	0.403	1.230	77.667	12.404	9.114	10.221	2.128	-8.474
51.250	51.202	0.405	1.237	75.653	12.195	8.960	9.929	2.123	-8.424
51.375	51.327	0.408	1.243	74.759	12.089	8.875	9.989	2.130	-8.334
51.500	51.452	0.410	1.250	73.635	12.093	8.875	10.281	2.150	-8.283
51.625	51.576	0.413	1.256	70.360	12.169	8.947	10.381	2.173	-8.257
51.750	51.701	0.416	1.263	68.815	12.238	9.030	10.309	2.186	-8.257
51.875	51.826	0.418	1.269	71.520	12.248	9.077	10.150	2.179	-8.237
52.000	51.951	0.421	1.276	74.801	12.175	9.055	9.799	2.157	-8.186
52.125	52.075	0.423	1.282	75.252	12.012	8.952	9.294	2.136	-8.118
52.250	52.200	0.426	1.289	73.990	11.801	8.802	8.913	2.130	-8.041
52.375	52.325	0.428	1.296	72.806	11.563	8.627	8.673	2.143	-7.971
52.500	52.449	0.431	1.302	73.452	11.309	8.442	8.603	2.165	-7.861
52.625	52.574	0.433	1.309	73.535	11.046	8.256	8.681	2.182	-7.683
52.750	52.699	0.436	1.315	72.486	10.801	8.081	8.741	2.184	-7.475
52.875	52.824	0.438	1.322	71.692	10.616	7.938	8.625	2.171	-7.246
53.000	52.948	0.441	1.328	72.547	10.549	7.865	8.296	2.149	-7.088
53.125	53.073	0.443	1.335	73.475	10.684	7.924	8.159	2.129	-6.932
53.250	53.198	0.446	1.341	72.588	10.997	8.113	8.386	2.123	-6.864
53.375	53.322	0.449	1.348	71.154	11.429	8.414	8.778	2.134	-6.861
53.500	53.447	0.451	1.355	69.855	11.879	8.768	9.201	2.157	-6.842
